	label	sentence	pos	v_index
0	0	compares 79 percent in the US,  86 percent in Sweden,  45 percent in West Germany and 69 percent in Japan.	verb	0
1	0	Do terrorists or illegal persons travel exclusively by train?	verb	0
2	0	are only the most overt changes advocated the review papers.	verb	0
3	0	‘ My father was an industrial chemist and he said if you want to go and work for them,  go and work for them. ’	verb	0
4	0	‘ one time there were dozens of companies which specialised renting out western paraphernalia.	verb	0
5	0	Finding out which cars can and which can not is not difficult.	verb	0
6	0	is not thirst.	verb	0
7	0	is to digress.	verb	0
8	0	Do the Greeks a word for it?	verb	0
9	0	Keep awayfrom jasmine,  already thick flower bud,  and clematis,  however untidy.	verb	0
10	0	Warned not to sing rock'n'roll a c&w station,  Buddy Holly insists,  ‘ I got ta play ma music. ’	verb	0
11	0	Dressing up,  role playing and masquerade form the conceptual basis of Kahlo 's work.	verb	0
12	0	jumping from the window of her apartment,  Hale had dressed meticulously in her most flattering dress,  the corsage of yellow roses a gift from a male admirer.	verb	0
13	0	Is funny?	verb	0
14	0	‘ One or two people will be ready to put down to plastic but our goals were nothing to plastic.	verb	0
15	0	Be with them peace sothat we may remain with our family and children peace.	verb	0
16	0	Straightening up beside the dog,  he looked where she was looking,  and blinked.	verb	0
17	0	‘ How many? ’	verb	0
18	0	‘ A little girl.	verb	0
19	0	‘ How was he? ’ his wife Sarah asked,  rather too quickly.	verb	0
20	0	‘ What kind of a trip have you? ’ she asked instead.	verb	0
21	0	‘ What else?	verb	0
22	0	Something the factors which influence multi-nat location decisions.	verb	0
23	0	Do n't ask me why.	verb	0
24	0	Lying in bed evening,  they talked a lot their life together.	verb	0
25	0	‘ What was Mueller doing answering questions.	verb	0
26	0	Designed products and marketed and sold them.	verb	0
27	0	Do you?	verb	0
28	0	‘ What amendments? ’	verb	0
29	0	was n't it. 	verb	0
30	0	is not to suggest that motorists should be treated differently.	verb	0
31	0	Expect to pay a management fee upto 15 percent.	verb	0
32	0	were the last human voices I heard all day.	verb	0
